name   , iso_country,municipality,icao_code,iata_code,coordinates
Los Angeles International Airport,US,Los Angeles,KLAX,LAX,"-118.4079971,33.94250107"
Heathrow Airport,GB,London,EGLL,LHR,"-0.461941,51.4706"
